lema	frecuencia_texto	elelex_encontrado	level_freq@a1	nb_doc@a1	level_freq@a2	nb_doc@a2	level_freq@b1	nb_doc@b1	level_freq@b2	nb_doc@b2	level_freq@c1	nb_doc@c1
raro	2	sí	10.7086	2	119.349	20	186.031	34	63.7448	7	143.298	10
desaparecer	2	sí	14.3013	2	159.039	23	272.608	39	185.847	19	116.407	9
ma	2	no										
cura	2	sí	0	0	7.1943	2	9.0766	3	0	0	38.8023	3
remedio	2	sí	0	0	26.1793	6	30.4723	7	17.5597	3	66.2997	7
sonar	2	sí	10.7086	2	170.069	22	241.204	39	49.2402	6	37.8856	4
par	2	sí	56.8843	4	71.2292	9	80.4865	13	97.2118	10	122.226	8
esfuerzo	2	sí	0	0	3.5066	2	30.3714	7	109.111	12	129.764	10
generación	2	sí	14.476	2	44.8667	7	85.517	14	49.8977	5	59.5547	4
niño	2	sí	1298.63	42	539.376	53	742.979	82	505.058	36	446.017	20
romper	2	sí	0	0	54.0745	10	73.5861	15	106.845	13	141.296	11
ronda	2	sí	0	0	3.5381	1	0	0	3.4744	1	0	0
fuerza	2	sí	85.2244	5	21.3619	7	53.3637	10	84.3859	10	170.576	11
músculo	2	sí	6.0172	1	16.0946	4	10.1609	3	11.3324	2	0	0
mami	2	no										
lejos	2	sí	102.13	7	128.94	16	37.7618	10	22.3091	3	50.2059	4
contarno	2	no										
suerte	2	sí	32.3886	3	138.042	19	219.793	31	108.409	13	164.311	13
fracaso	2	sí	0	0	8.2104	3	9.8662	4	18.4738	2	48.776	4
amigo	2	sí	1336.2	51	1052.89	101	1140.67	129	499.074	38	468.516	28
realmente	2	no										
quitar	2	sí	44.3643	3	29.9821	7	163.944	26	109.631	13	112.745	9
josé	2	no										
piano	2	sí	113.623	6	15.1859	3	12.8507	4	2.2844	1	0	0
hermanito	2	no										
esforzar	2	sí	0	0	0	0	0	0	11.6409	2	26.3283	2
realidad	2	sí	21.3159	2	85.6257	17	218.984	36	124.282	18	343.127	22
nervioso	2	sí	42.4153	4	171.51	23	127.347	23	59.6857	7	26.3283	2
excepcional	2	sí	4.0172	1	6.5309	2	4.8032	2	0	0	0	0
genial	2	sí	73.4919	4	153.165	21	83.3809	14	22.6869	4	0	0
corazón	2	sí	4.954	1	104.53	15	99.1432	20	77.4445	8	71.7298	6
hacer él	2	no										
nube	2	sí	0	0	13.9308	3	8.8671	3	12.2342	2	26.3283	2
quier	2	no										
preocupartir	2	no										
seguro	2	sí	94.9722	6	191.629	26	130.998	37	124.216	15	144.855	11
contento	2	sí	280.248	17	97.5867	15	153.399	24	49.9319	6	28.4142	3
enamorar	2	sí	119.314	7	94.8862	18	174.638	29	72.9757	9	92.4461	8
madrugada	2	sí	0	0	0.022	1	9.9726	3	11.3324	2	17.0156	2
abierto	2	sí	0	0	0	0	1.2931	1	0	0	0	0
canción	2	sí	269.901	12	197.579	26	352.944	37	19.716	4	82.1557	7
dejar él	2	no										
